Angle,Intensity
"-90.00","0.00"
"-89.80","4.17"
"-89.60","4.38"
"-89.40","4.38"
"-89.20","4.46"
"-89.00","4.93"
"-88.80","5.33"
"-88.60","5.73"
"-88.40","5.73"
"-88.20","6.79"
"-88.00","7.68"
"-87.80","8.73"
"-87.60","9.63"
"-87.40","9.63"
"-87.20","10.62"
"-87.00","11.25"
"-86.80","11.74"
"-86.60","12.32"
"-86.40","12.32"
"-86.20","12.54"
"-86.00","12.43"
"-85.80","12.09"
"-85.60","11.61"
"-85.40","11.61"
"-85.20","11.48"
"-85.00","10.84"
"-84.80","10.48"
"-84.60","10.01"
"-84.40","10.01"
"-84.20","9.89"
"-84.00","9.67"
"-83.80","9.27"
"-83.60","9.07"
"-83.40","9.07"
"-83.20","8.57"
"-83.00","8.07"
"-82.80","7.55"
"-82.60","7.28"
"-82.40","7.28"
"-82.20","6.33"
"-82.00","6.17"
"-81.80","5.85"
"-81.60","5.42"
"-81.40","5.42"
"-81.20","5.32"
"-81.00","5.04"
"-80.80","4.91"
"-80.60","4.84"
"-80.40","4.84"
"-80.20","4.77"
"-80.00","4.52"
"-79.80","4.53"
"-79.60","4.49"
"-79.40","4.49"
"-79.20","4.51"
"-79.00","4.50"
"-78.80","4.59"
"-78.60","4.63"
"-78.40","4.63"
"-78.20","4.64"
"-78.00","4.58"
"-77.80","4.73"
"-77.60","4.56"
"-77.40","4.56"
"-77.20","4.85"
"-77.00","5.02"
"-76.80","5.38"
"-76.60","5.39"
"-76.40","5.39"
"-76.20","6.00"
"-76.00","6.75"
"-75.80","7.04"
"-75.60","7.80"
"-75.40","7.80"
"-75.20","8.23"
"-75.00","8.36"
"-74.80","8.68"
"-74.60","8.94"
"-74.40","8.94"
"-74.20","8.58"
"-74.00","8.20"
"-73.80","8.07"
"-73.60","8.20"
"-73.40","8.20"
"-73.20","7.84"
"-73.00","7.48"
"-72.80","7.33"
"-72.60","7.06"
"-72.40","7.06"
"-72.20","6.89"
"-72.00","6.58"
"-71.80","6.21"
"-71.60","6.35"
"-71.40","6.35"
"-71.20","5.96"
"-71.00","5.76"
"-70.80","5.57"
"-70.60","5.35"
"-70.40","5.35"
"-70.20","5.11"
"-70.00","5.24"
"-69.80","5.29"
"-69.60","5.27"
"-69.40","5.27"
"-69.20","4.98"
"-69.00","5.28"
"-68.80","5.40"
"-68.60","5.35"
"-68.40","5.35"
"-68.20","5.37"
"-68.00","5.28"
"-67.80","5.47"
"-67.60","5.52"
"-67.40","5.52"
"-67.20","5.55"
"-67.00","5.56"
"-66.80","5.86"
"-66.60","5.88"
"-66.40","5.88"
"-66.20","5.87"
"-66.00","5.98"
"-65.80","6.16"
"-65.60","5.98"
"-65.40","5.98"
"-65.20","5.97"
"-65.00","6.41"
"-64.80","7.02"
"-64.60","7.73"
"-64.40","7.73"
"-64.20","8.89"
"-64.00","10.64"
"-63.80","12.38"
"-63.60","13.97"
"-63.40","13.97"
"-63.20","15.62"
"-63.00","16.92"
"-62.80","17.53"
"-62.60","17.85"
"-62.40","17.85"
"-62.20","17.47"
"-62.00","16.60"
"-61.80","15.80"
"-61.60","14.83"
"-61.40","14.83"
"-61.20","14.50"
"-61.00","13.96"
"-60.80","13.20"
"-60.60","12.37"
"-60.40","12.37"
"-60.20","12.27"
"-60.00","11.69"
"-59.80","11.15"
"-59.60","10.40"
"-59.40","10.40"
"-59.20","9.78"
"-59.00","9.24"
"-58.80","8.87"
