Angle,Intensity
"0.00","0.10"
"0.20","0.10"
"0.40","0.10"
"0.60","0.10"
"0.80","0.10"
"1.00","0.11"
"1.20","0.12"
"1.40","0.12"
"1.60","0.12"
"1.80","0.12"
"2.00","0.12"
"2.20","0.11"
"2.40","0.13"
"2.60","0.13"
"2.80","0.11"
"3.00","0.13"
"3.20","0.11"
"3.40","0.13"
"3.60","0.13"
"3.80","0.17"
"4.00","0.13"
"4.20","0.25"
"4.40","0.18"
"4.60","0.18"
"4.80","0.20"
"5.00","0.21"
"5.20","0.28"
"5.40","0.36"
"5.60","0.36"
"5.80","0.75"
"6.00","0.75"
"6.20","1.04"
"6.40","1.24"
"6.60","1.24"
"6.80","1.97"
"7.00","2.19"
"7.20","2.62"
"7.40","3.57"
"7.60","3.57"
"7.80","4.42"
"8.00","4.64"
"8.20","5.16"
"8.40","6.86"
"8.60","6.86"
"8.80","9.01"
"9.00","10.42"
"9.20","13.24"
"9.40","14.42"
"9.60","14.42"
"9.80","16.28"
"10.00","17.92"
"10.20","19.43"
"10.40","20.63"
"10.60","20.63"
"10.80","20.78"
"11.00","21.04"
"11.20","21.63"
"11.40","22.88"
"11.60","22.88"
"11.80","21.02"
"12.00","21.59"
"12.20","21.76"
"12.40","21.50"
"12.60","21.50"
"12.80","21.14"
"13.00","20.89"
"13.20","21.14"
"13.40","21.27"
"13.60","21.27"
"13.80","20.30"
"14.00","20.61"
"14.20","20.12"
"14.40","19.37"
"14.60","19.37"
"14.80","19.88"
"15.00","20.43"
"15.20","19.40"
"15.40","18.92"
"15.60","18.92"
"15.80","18.34"
"16.00","19.11"
"16.20","18.86"
"16.40","18.34"
"16.60","18.34"
"16.80","18.62"
"17.00","17.26"
"17.20","18.39"
"17.40","17.51"
"17.60","17.51"
"17.80","17.78"
"18.00","17.43"
"18.20","17.53"
"18.40","17.65"
"18.60","17.65"
"18.80","17.47"
"19.00","17.30"
"19.20","17.21"
"19.40","16.67"
"19.60","16.67"
"19.80","16.83"
"20.00","17.29"
"20.20","16.90"
"20.40","16.40"
"20.60","16.40"
"20.80","16.36"
"21.00","16.42"
"21.20","15.75"
"21.40","15.34"
"21.60","15.34"
"21.80","15.76"
"22.00","15.58"
"22.20","16.31"
"22.40","15.17"
"22.60","15.17"
"22.80","15.38"
"23.00","14.38"
"23.20","15.34"
"23.40","14.99"
"23.60","14.99"
"23.80","14.39"
"24.00","13.94"
"24.20","13.75"
"24.40","14.36"
"24.60","14.36"
"24.80","13.64"
"25.00","13.75"
"25.20","13.08"
"25.40","13.34"
"25.60","13.34"
"25.80","12.48"
"26.00","12.62"
"26.20","12.52"
"26.40","12.65"
"26.60","12.65"
"26.80","12.33"
"27.00","12.15"
"27.20","11.89"
"27.40","11.62"
"27.60","11.62"
"27.80","11.73"
"28.00","11.50"
"28.20","11.40"
"28.40","11.03"
"28.60","11.03"
"28.80","11.12"
"29.00","10.47"
"29.20","10.25"
"29.40","10.87"
"29.60","10.87"
"29.80","11.27"
"30.00","12.90"
"30.20","17.29"
"30.40","21.19"
"30.60","21.19"
"30.80","22.81"
"31.00","24.26"
"31.20","28.93"
"31.40","30.62"
"31.60","30.62"
"31.80","31.97"
"32.00","26.12"
"32.20","19.11"
"32.40","14.75"
"32.60","14.75"
"32.80","12.30"
"33.00","11.82"
"33.20","10.86"
"33.40","10.02"
"33.60","10.02"
"33.80","9.81"
"34.00","10.10"
"34.20","9.67"
"34.40","9.30"
"34.60","9.30"
"34.80","9.57"
"35.00","9.05"
"35.20","8.96"
"35.40","9.33"
"35.60","9.33"
"35.80","9.10"
"36.00","8.98"
"36.20","8.44"
"36.40","8.40"
"36.60","8.40"
"36.80","8.49"
"37.00","8.69"
"37.20","7.93"
"37.40","7.81"
"37.60","7.81"
"37.80","7.58"
"38.00","7.33"
"38.20","7.11"
"38.40","7.21"
"38.60","7.21"
"38.80","7.22"
"39.00","7.03"
"39.20","7.10"
"39.40","7.11"
"39.60","7.11"
"39.80","7.18"
"40.00","6.74"
"40.20","6.86"
"40.40","6.60"
"40.60","6.60"
"40.80","6.27"
"41.00","6.72"
"41.20","6.44"
"41.40","6.55"
"41.60","6.55"
"41.80","6.12"
"42.00","6.79"
"42.20","5.99"
"42.40","5.82"
"42.60","5.82"
"42.80","5.86"
"43.00","5.99"
"43.20","5.95"
"43.40","6.33"
"43.60","6.33"
"43.80","6.51"
"44.00","7.50"
"44.20","8.21"
"44.40","9.96"
"44.60","9.96"
"44.80","11.54"
"45.00","14.50"
"45.20","17.18"
"45.40","20.79"
"45.60","20.79"
"45.80","20.13"
"46.00","16.33"
"46.20","13.53"
"46.40","11.33"
"46.60","11.33"
"46.80","8.73"
"47.00","7.53"
"47.20","6.60"
"47.40","6.29"
"47.60","6.29"
"47.80","6.24"
"48.00","5.95"
"48.20","5.96"
"48.40","5.80"
"48.60","5.80"
"48.80","5.91"
"49.00","6.12"
"49.20","5.92"
"49.40","5.65"
"49.60","5.65"
"49.80","5.35"
"50.00","5.63"
"50.20","5.60"
"50.40","5.33"
"50.60","5.33"
"50.80","5.33"
"51.00","5.16"
"51.20","5.37"
"51.40","5.23"
"51.60","5.23"
"51.80","5.32"
"52.00","5.19"
"52.20","4.85"
"52.40","5.32"
"52.60","5.32"
"52.80","5.38"
"53.00","5.17"
"53.20","4.98"
"53.40","5.23"
"53.60","5.23"
"53.80","4.97"
"54.00","4.99"
"54.20","5.04"
"54.40","4.90"
"54.60","4.90"
"54.80","4.95"
"55.00","4.84"
"55.20","5.25"
"55.40","5.17"
"55.60","5.17"
"55.80","5.81"
"56.00","6.15"
"56.20","7.25"
"56.40","8.05"
"56.60","8.05"
"56.80","7.44"
"57.00","7.43"
"57.20","7.46"
"57.40","7.95"
"57.60","7.95"
"57.80","7.72"
"58.00","6.43"
"58.20","5.09"
"58.40","5.03"
"58.60","5.03"
"58.80","4.67"
"59.00","4.32"
"59.20","4.38"
"59.40","4.43"
"59.60","4.43"
"59.80","4.09"
"60.00","3.96"
"60.20","4.02"
"60.40","3.81"
"60.60","3.81"
"60.80","3.92"
"61.00","3.85"
"61.20","4.29"
"61.40","3.82"
"61.60","3.82"
"61.80","4.08"
"62.00","3.68"
"62.20","3.76"
"62.40","3.82"
"62.60","3.82"
"62.80","3.57"
"63.00","3.63"
"63.20","3.63"
"63.40","3.48"
"63.60","3.48"
"63.80","3.39"
"64.00","3.47"
"64.20","3.42"
"64.40","3.53"
"64.60","3.53"
"64.80","3.51"
"65.00","3.14"
"65.20","3.55"
"65.40","3.56"
"65.60","3.56"
"65.80","3.34"
"66.00","3.59"
"66.20","3.75"
"66.40","4.17"
"66.60","4.17"
"66.80","4.01"
"67.00","4.51"
"67.20","4.42"
"67.40","4.79"
"67.60","4.79"
"67.80","4.50"
"68.00","3.84"
"68.20","3.92"
"68.40","3.84"
"68.60","3.84"
"68.80","3.84"
"69.00","3.46"
"69.20","3.13"
"69.40","3.51"
