Angle,Intensity
"0.00","0.14"
"0.20","0.10"
"0.40","0.10"
"0.60","0.10"
"0.80","0.13"
"1.00","0.10"
"1.20","0.16"
"1.40","0.11"
"1.60","0.11"
"1.80","0.16"
"2.00","0.16"
"2.20","0.19"
"2.40","0.18"
"2.60","0.18"
"2.80","0.24"
"3.00","0.23"
"3.20","0.26"
"3.40","0.25"
"3.60","0.25"
"3.80","0.22"
"4.00","0.25"
"4.20","0.19"
"4.40","0.23"
"4.60","0.23"
"4.80","0.73"
"5.00","1.01"
"5.20","1.91"
"5.40","2.49"
"5.60","2.49"
"5.80","2.96"
"6.00","3.89"
"6.20","5.07"
"6.40","5.94"
"6.60","5.94"
"6.80","7.61"
"7.00","8.87"
"7.20","10.26"
"7.40","11.61"
"7.60","11.61"
"7.80","13.09"
"8.00","13.74"
"8.20","14.71"
"8.40","15.40"
"8.60","15.40"
"8.80","15.95"
"9.00","16.31"
"9.20","16.55"
"9.40","16.67"
"9.60","16.67"
"9.80","16.77"
"10.00","16.38"
"10.20","16.70"
"10.40","16.92"
"10.60","16.92"
"10.80","16.53"
"11.00","16.90"
"11.20","16.50"
"11.40","16.72"
"11.60","16.72"
"11.80","16.84"
"12.00","16.76"
"12.20","16.39"
"12.40","16.42"
"12.60","16.42"
"12.80","17.45"
"13.00","16.24"
"13.20","15.50"
"13.40","15.34"
"13.60","15.34"
"13.80","15.87"
"14.00","14.94"
"14.20","14.96"
"14.40","15.30"
"14.60","15.30"
"14.80","15.30"
"15.00","15.04"
"15.20","13.91"
"15.40","13.92"
"15.60","13.92"
"15.80","14.19"
"16.00","14.50"
"16.20","13.67"
"16.40","13.40"
"16.60","13.40"
"16.80","13.37"
"17.00","13.85"
"17.20","13.02"
"17.40","12.57"
"17.60","12.57"
"17.80","13.09"
"18.00","13.49"
"18.20","12.72"
"18.40","12.68"
"18.60","12.68"
"18.80","12.53"
"19.00","13.34"
"19.20","12.96"
"19.40","13.27"
"19.60","13.27"
"19.80","12.83"
"20.00","12.73"
"20.20","12.49"
"20.40","12.86"
"20.60","12.86"
"20.80","12.25"
"21.00","12.77"
"21.20","12.85"
"21.40","12.54"
"21.60","12.54"
"21.80","12.33"
"22.00","12.59"
"22.20","12.25"
"22.40","11.72"
"22.60","11.72"
"22.80","12.73"
"23.00","11.97"
"23.20","11.48"
"23.40","11.31"
"23.60","11.31"
"23.80","11.31"
"24.00","11.59"
"24.20","10.95"
"24.40","11.02"
"24.60","11.02"
"24.80","11.27"
"25.00","10.94"
"25.20","10.93"
"25.40","10.93"
"25.60","10.93"
"25.80","10.36"
"26.00","10.15"
"26.20","9.72"
"26.40","9.48"
"26.60","9.48"
"26.80","9.29"
"27.00","9.38"
"27.20","8.74"
"27.40","8.97"
"27.60","8.97"
"27.80","9.08"
"28.00","9.26"
"28.20","8.87"
"28.40","8.53"
"28.60","8.53"
"28.80","8.29"
"29.00","8.67"
"29.20","7.80"
"29.40","7.83"
"29.60","7.83"
"29.80","7.89"
"30.00","8.30"
"30.20","7.26"
"30.40","7.77"
"30.60","7.77"
"30.80","7.81"
"31.00","7.50"
"31.20","7.05"
"31.40","7.21"
"31.60","7.21"
"31.80","6.91"
"32.00","6.92"
"32.20","6.91"
"32.40","6.96"
"32.60","6.96"
"32.80","6.80"
"33.00","6.47"
"33.20","6.55"
"33.40","6.11"
"33.60","6.11"
"33.80","6.01"
"34.00","6.12"
"34.20","6.13"
"34.40","5.97"
"34.60","5.97"
"34.80","5.59"
"35.00","6.07"
"35.20","6.33"
"35.40","5.65"
"35.60","5.65"
"35.80","5.48"
"36.00","5.36"
"36.20","5.65"
"36.40","5.19"
"36.60","5.19"
"36.80","5.28"
"37.00","5.51"
"37.20","5.25"
"37.40","5.35"
"37.60","5.35"
"37.80","5.38"
"38.00","5.65"
"38.20","5.15"
"38.40","4.75"
"38.60","4.75"
